#  0. Epoch Time
#  1. Bz (nT), GSE
#  2. Flow Speed (km/s), GSE
#  3. Proton density (n/cc) (last currently-available OMNI plasma data Mar 08, 2018)
#
#EPOCH_TIME, BZ,_GSE FLOW_SPEED,_GSE PROTON_DENSITY
#dd-mm-yyyy hh:mm:ss           nT            km/s           n/cc
31-10-2012/00:00:00       3.30000         281.100        7.99000
31-10-2012/00:01:00       2.94000         281.200        8.00000
31-10-2012/00:02:00      0.900000         287.300        8.98000
31-10-2012/00:03:00       2.36000         287.300        8.98000
31-10-2012/00:04:00       2.14000             nan            nan
31-10-2012/00:05:00       2.49000         282.500        8.16000
31-10-2012/00:06:00       2.86000         282.500        8.16000
31-10-2012/00:07:00       2.37000             nan            nan
31-10-2012/00:08:00       2.23000         280.500        7.96000
31-10-2012/00:09:00       2.20000         280.500        7.96000
31-10-2012/00:10:00       2.29000         282.600        8.41000
31-10-2012/00:11:00       2.36000         280.200        8.36000
31-10-2012/00:12:00       2.46000         278.600        8.32000
31-10-2012/00:13:00       2.52000         282.300        8.50000
31-10-2012/00:14:00       2.60000         282.300        8.50000
31-10-2012/00:15:00       2.47000         280.700        8.52000
31-10-2012/00:16:00       2.59000         280.700        8.52000
31-10-2012/00:17:00       2.64000         280.200        8.76000
31-10-2012/00:18:00       2.64000         280.100        8.79000
31-10-2012/00:19:00       2.59000         280.100        8.79000
31-10-2012/00:20:00       2.50000         280.600        8.40000
31-10-2012/00:21:00       2.54000         280.600        8.40000
31-10-2012/00:22:00       2.65000             nan            nan
31-10-2012/00:23:00       2.54000         276.400        8.54000
31-10-2012/00:24:00       2.56000         276.400        8.54000
31-10-2012/00:25:00       2.53000         278.100        8.90000
31-10-2012/00:26:00       2.55000         277.400        8.65000
31-10-2012/00:27:00       2.29000         277.600        8.19000
31-10-2012/00:28:00       2.20000         278.900        7.79000
31-10-2012/00:29:00       2.29000         276.200        7.16000
31-10-2012/00:30:00       2.22000         277.500        8.34000
31-10-2012/00:31:00       2.15000         277.500        8.34000
31-10-2012/00:32:00       2.14000         276.500        8.47000
31-10-2012/00:33:00       1.96000         277.100        8.44000
31-10-2012/00:34:00       1.98000         278.000        8.41000
31-10-2012/00:35:00       2.07000         279.000        8.43000
31-10-2012/00:36:00       2.12000         280.200        8.53000
31-10-2012/00:37:00       1.96000         279.300        8.56000
31-10-2012/00:38:00       1.62000         279.300        8.56000
31-10-2012/00:39:00       1.36000             nan            nan
31-10-2012/00:40:00       1.48000             nan            nan
31-10-2012/00:41:00       1.41000         283.900        9.19000
